Mask_Type,Lead,MAE,RMSE,PCC,PRD
mask_12,Overall,0.112362474,0.18681122,0.4563071,88.98802
mask_12,I,0.11054872,0.18440016,0.4994141,87.01675
mask_12,II,0.12044938,0.18828228,0.5259905,85.83793
mask_12,III,0.12623051,0.19827545,0.4343198,91.699104
mask_12,aVR,0.11851415,0.1892127,0.4166901,90.761086
mask_12,aVL,0.13026714,0.20953014,0.28539616,96.40277
mask_12,aVF,0.1313864,0.20860064,0.3311485,94.71628
mask_12,V1,0.09163839,0.1670849,0.43027467,90.15397
mask_12,V2,0.103820965,0.18125015,0.49572027,86.81215
mask_12,V3,0.123139925,0.20231596,0.43067944,90.2856
mask_12,V4,0.10168218,0.17461509,0.5486848,83.98386
mask_12,V5,0.09401058,0.16371807,0.554384,84.03023
mask_12,V6,0.09666133,0.16569296,0.5229834,86.15657
mask_6,Overall,0.1002402,0.17269175,0.5725688,82.34158
mask_6,I,0.09939366,0.17146757,0.59440327,81.11368
mask_6,II,0.105266616,0.17211646,0.62457216,78.96857
mask_6,III,0.1103563,0.17977673,0.5837068,82.902374
mask_6,aVR,0.10001849,0.1665737,0.6094965,78.95688
mask_6,aVL,0.11574049,0.19168586,0.48555937,87.634125
mask_6,aVF,0.11354751,0.18721557,0.5495215,83.82887
mask_6,V1,0.086214535,0.16099298,0.4987113,86.67613
mask_6,V2,0.09269936,0.16870081,0.58754826,80.91498
mask_6,V3,0.10725549,0.18411711,0.5710535,82.3143
mask_6,V4,0.093296096,0.16686073,0.597507,80.605194
mask_6,V5,0.08826661,0.15883122,0.5902457,81.63782
mask_6,V6,0.09082734,0.15914893,0.5784997,82.54614
mask_4,Overall,0.09082641,0.16208959,0.6391932,77.282135
mask_4,I,0.08886296,0.16062263,0.6582937,76.2191
mask_4,II,0.09663366,0.16500488,0.65909076,76.00375
mask_4,III,0.09957817,0.16831982,0.6470258,77.48324
mask_4,aVR,0.08963516,0.15454224,0.6841331,72.5524
mask_4,aVL,0.100563556,0.17201123,0.63173026,77.8983
mask_4,aVF,0.09925087,0.16960953,0.65875,75.78993
mask_4,V1,0.08228555,0.15671888,0.5366206,84.279884
mask_4,V2,0.08498217,0.15914539,0.6501397,75.76637
mask_4,V3,0.093558624,0.16865596,0.6620194,75.30117
mask_4,V4,0.08589931,0.15803996,0.6575228,76.16135
mask_4,V5,0.083789475,0.15511517,0.6137034,79.739845
mask_4,V6,0.084877364,0.1545228,0.61128885,80.190315
mask_3,Overall,0.081180915,0.14835796,0.7111701,70.61256
mask_3,I,0.08516586,0.15393788,0.69848955,72.52461
mask_3,II,0.08802608,0.15158513,0.7309299,69.466866
mask_3,III,0.08572811,0.14980274,0.7415264,68.64363
mask_3,aVR,0.08021331,0.14249134,0.73653305,67.1602
mask_3,aVL,0.08964814,0.15877777,0.68586123,73.09955
mask_3,aVF,0.08294681,0.14767054,0.75158787,65.94853
mask_3,V1,0.07171931,0.1392607,0.6682871,73.52141
mask_3,V2,0.07016858,0.1361188,0.76117706,64.49991
mask_3,V3,0.08467062,0.15661857,0.7139825,70.111984
mask_3,V4,0.08114743,0.15246919,0.6763152,73.96396
mask_3,V5,0.075999394,0.14413196,0.6872955,73.72111
mask_3,V6,0.07873741,0.14467242,0.6820558,74.688965
mask_2,Overall,0.074317575,0.14345223,0.7343717,67.50873
mask_2,I,0.0804685,0.15337214,0.6923686,73.151436
mask_2,II,0.088305175,0.1588491,0.6870874,73.31279
mask_2,III,0.08967778,0.16150373,0.67415446,74.335754
mask_2,aVR,0.06624774,0.119700864,0.83253634,54.744537
mask_2,aVL,0.08581508,0.155841,0.7136104,70.16597
mask_2,aVF,0.08049243,0.1500471,0.7559999,65.42517
mask_2,V1,0.057026453,0.11464579,0.7879118,59.031166
mask_2,V2,0.062021762,0.12526718,0.80807066,58.036415
mask_2,V3,0.07368757,0.14868277,0.7486402,66.24803
mask_2,V4,0.07086781,0.143736,0.7308177,68.99353
mask_2,V5,0.06812991,0.1400882,0.6909797,73.118706
mask_2,V6,0.069070764,0.13954422,0.6902839,73.5412
